Headword,POS,Definition
ทก,ก.,กระทก กระตุก ชักเข้ามาทันทีอย่างการตัดกล้วย โดยใช้ของมีคมผูกติดปลายไม้ส้าว
ทกตอง,ก.,ตัดเอาใบกล้วย โดยใช้ของมีคมผูกติดปลายไม้ส้าว
ทกโท,น.,ตุ๊กแก
ท่ง,ก.,ทุ่ง นา
ท่ง,โท่ง,ก็ว่า.
ท่งย่ง,ก.,ผุดขึ้น กระดกขึ้น
ท้ง,ก.,กระแทกขึ้นไป กระแทกออกไปด้านข้างหรือด้านบน
ทน,ว.,โทน เดี่ยว
ทน,โทน,ก็ว่า.
ท้น,ก.,ท้น - นูนสูงขึ้นจนไหลทวนกลับไปอย่างน้ำท้นฝั่ง ขย้อน
ทบ,น.,เท่า - จำนวนที่เพิ่มขึ้นตามชิ้นส่วนของจำนวนเดิม เช่น ๓ ทบ
ทบ,ก.,พับ ทบ
ทบเท่า,ก.,ทบ เพิ่มขึ้นอีกเท่าตัว ทวี
ท่มท้ำ,ว.,ตูมตาม โครมคราม
ท่มท้ำ,โท่มท่าม,ก็ว่า.
ทมิฬะ,น.,ชนเผ่าหนึ่งอยู่ทางอินเดียตอนใต้ ชนเผ่าพื้นเมือง
ทมิฬะ,ทมิละ มัมมิละ,ก็ว่า.
ทมิฬะ,น.,ในตำนานของล้านนาใช้เรียก พวกลัวะ
ทรง,ก.,ทรง ดำรง รับ ได้รับ
ทรงคัพพะ,ก.,ทรงครรภ์ มีท้อง
ทรา,คำลงท้าย. มักปรากฏในกวีนิพนธ์ เถิด เถิดรา แล้ว แล,
ทรา,น.,อ่าน ทา
ทรา,น.,ชื่ออำเภอและแม่น้ำในจังหวัดลำพูน
ทราม,ก.,ประมาณ คาดคะเน
ทราม,ว.,ปานกลาง กำลังงาม อยู่ในระกว่าง เช่น เดือนยี่ สี่สามทรามหนาวด้วย พี่แฝงฅิงทวยเบียดยัด (คร่าวคำจ่มพญาพรหม)
ทราย,น.,ตามะแน - ชื่อกวางชนิดหนึ่ง
ทวง,น.,มาตราวัดปริมาตรเท่ากับครึ่งหนึ่งของผลมะตูม
ทวง,ก.,รองรับ อย่างเอาถังไปรองรับน้ำ
ท้วง,ก.,กระดิก เคลื่อนไหว
ท้วงติง,ก.,กระดิก เคลื่อนไหว
ท้วงทัก,ก.,ทักท้วง ติติง
ทวนตาม,ก.,ย้อนกลับ ทวนขึ้นไปสู่ต้นน้ำ
ท่วนเทียว,ก.,ท่องเที่ยว วนเวียนไปมาในสงสารวัฏ
ทวย,ก.,ตาม ติดตาม พร้อมกัน ด้วย
ทวย,โทย,ก็ว่า.
ทวยรอย,ก.,สะกดรอย ตามรอย เอาแบบอย่าง
ทวัก,ก.,ทัก ทักทาย
ทวัก,ก.,สอดส่ายค้นหา
ทวาย,ก.,ทาย ทำนาย
ทวาย,ต่ำนวาย,ก็ว่า.
ทวายทวัก,ก.,ทำนายทายทัก
ทวายเมื่อ,น.,การทำนาย
ทวาร,น.,ทวาร ประตู หนทาง
ทวีป,น.,เกาะ ทวีป
ทสพอร,น.,ทศพร - พรสิบประการ เป็นชื่อกัณฑ์แรกของมหาชาติ
ทสพอร,ทัสสพร,ก็ว่า.
ทสมาส,น.,๑๐ เดือน
ทสราชธัมม์,น.,ธรรมสิบประการที่พระเจ้าแผ่นดินหรือผู้ครองบ้านเมืองควรประพฤติ คือ ทาน ศีล บริจาค อาชวะ มัทวะ ตปะ อโภธะ อวิหิงสา ขันติ อวิโรธนะ
ทสสิบชาติ,ว.,ทศชาติ - ชื่อคัมภีร์ชาดกว่าด้วยเรื่องพระพุทธเจ้า ครั้งยังเป็นพระโพธิสัตว์อยู่สิบชาติ
ทสสิบชาติ,ทัสสสิบชาติ,ก็ว่า.
ทสะ,ว.,สิบ มักใช้เป็นส่วนหน้าของสมาส เช่น ทสธัมม์
ทอ,ล.,เรียกทอที่มีสิ่งของบรรจุอยู่
ทอ,ก.,ทอ อย่างทอผ้า
ทอ,ก.,ขวิด ชน กระทบ กล่าวโต้ตอบ ประจัญหน้าเข้าหากัน รอรับ ยันไว้ไม่ให้ล้ำแนวเข้ามา
ทอตาฝั่ง,ก.,อาการที่ควายใช้เขาขวิดฝั่งน้ำ
ทอลม,ก.,ต้านลม รับลม
ทอหูก,น.,ทอผ้าด้วยหูก
ท่อ,น.,ตุ้มหู ท่อ
ท่อท้าง,น.,ต่างหู ตุ้มหู
ท่อท้าง,ด็อกหู,ก็ว่า.
ท่อท้าง,น.,ท่อระบายน้ำในกระทงนา
ท่อท้างลานหู,น.,ต่างหู ตุ้มหู
ท่อหู,น.,ต่างหูที่ทำด้วยใบลานหรือทองคำที่ทำเป็นแผ่นแล้วม้วนให้กลม
ท้อ,ก.,ตอบโต้ ทักท้วง ทัดทาน โต้แย้ง
ท้อ,ก.,ทอน อย่างทอนสตางค์
ท้อ,ก.,ขายให้เท่าทุน
ท้อ,ก.,ทำให้เป็นกองไว้ชั่วคราว เช่น ท้อข้าวเปลือก
ทอก,น.,นกยางชนิดหนึ่งเรียกว่า นกยางทอก
ทอก,น.,เรียกหมูขนาดใหญ่หรือหมูเขี้ยวตันว่า หมูทอก
ทอก,น.,เรียกช้างขนาดใหญ่ที่เป็นจ่าฝูงว่า ช้างทอก
ทอก,น.,ต้นปอตาน
ทอก,ก.,กระแทก กระทุ้งให้แน่น
ทอก,ว.,เดี่ยว โทน ลำพัง
ทอกบอกไฟ,ก.,กระทุ้งดินที่ปิดก้นหรือปากกระบอกพลุให้แน่นหนา
ทอกว้อง,ก.,สำเร็จความใคร่ด้วยตนเองของผู้ชาย
ท็อก,ก.,กระเดาะอย่างกระเดาะลูกฟุตบอลหรือตะกร้อ เคาะหรือตีเบาๆ เช่น ท็อกไข่ไส่ถ้วย - ต่อยไข่ใส่ชาม
ท็อกค็อก,ก.,ประมาณน้ำหนักด้วยการวางสิ่งนั้นลงบนฝ่ามือหรือยกดู
ท็อกค็อก,ว.,มีน้ำหนักพอประมาณ ขยายคำว่า หนัก
ทอง,น.,ทองเหลือง ทองแดง สำริด โลหะผสม
ทอง,น.,ต้นทอง
ทอง,ลัก.,มาตราตวงของเหลวประมาณ ๕๐ ลูกบาศก์เซนติเมตร
ทอง,ก.,เย้ย พูดแขวะ พูดกระทบ
ทอง,ก.,ตรอง - พินิจดู ไตร่ตรองพิจารณาดู
ทองแข,น.,โลหะผสมชนิดหนึ่ง ลงหินโลหะผสมหล่อพิเศษแล้วขัดด้วยหิน
