Headword,POS,Definition
อก,น.,อวัยวะด้านหน้าถัดคอลงมา ถัดท้องขึ้นไป ส่วมากว่า เอิก
อก ๆ,ว.,เสียงดัง เช่น เสียงลูกอัณฑะของม้าขณะวิ่ง
อก ๆ,โอบ ๆ ,ก็ว่า
อง,น.,ละมั่ง
อง,โอง,ก็เรียก
อ่ง,ก.,"ถือตัว, หยิ่ง, ทะนง"
อ้ง ๑,น.,อุ้ง เช่น อ้งมือ = อุ้งมือ
อ้ง ๒,น.,เนื้อขาส่วนบนของคนและสัตว์ เรียกว่า อ้งขา หรือ ขาอ้ง
อ้ง ๓,ว.,ใหญ่ เช่น เป็นอ้งเป็นเหนียง
องคะ,น.,"ส่วนของร่างกาย, อวัยวะ, ตัว, รูปโฉม"
อ่งต่ง,ว.,"อิ่มเอิบ, เปล่งปลั่ง เช่น แก้มอ่งต่ง = แก้มเปล่งปลั่ง, ปลั่ง ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็ก เรียกว่า อ่องต่อง (เอ"
อ่งต่ง,ก.,) อ่องต่องแอ่งแต่ง (พหู.)
อ้งป้ง,ว.,"ลักษณะสิ่งของที่พองหรือป่องขึ้น ใช้สำหรับขนาดใหญ่, ถ้าขนาดเล็กว่า อ้องป้อง"
อ้งป้ง,"อ้งป้งเอ้งเป้ง, อ้องป้องแอ้งแป้ง",ก็ว่า
อ่งล่ง,ว.,"ลอยฟ่อง ใช้สำหรับขนาดใหญ่, ถ้าขนาเล็กว่า อ่องล่อง"
อ่งล่ง,"อ่งล่งเอ่งเล่ง, อ่องล่องแอ่งเล่ง",ก็ว่า
องศา,น.,หน่วยในการวัดขนาดของมุม โดยกำหนดให้มุมที่รับรองโค้ง ๑ ใน ๓๖๐ ส่วนของเส้นรอบวง มีขนาด ๑ องศาและ ๓๐ องศา เป็น ๑  มุมฉาก
องศา,น.,หน่วยในมาตราวัดจักรราศี คือ ๓๐ องศาเป็นเป็น ๑ ราศี
องศา,น.,หน่วยในการวัดอุณหภูมิตามชนิดของเครื่องวัด
องอาจ,ว.,องอาจ มักให้อาจ เป็นพื้น (ข. อ่งอาจ)
องุ่น,น.,องุ่น
อด ๑,น.,ชื่อไม้ยืนต้นชนิดหนึ่ง = ต้นอ้อยช้าง
อด ๒,ก.,กลั้น
อด ๒,"อดถ้าแนม, อดถะแนม","สัน. โปรดคอยดู, จงคอยดูเถิด, ถ้าแม้นว่า"
อด ๒,อดพอ,"สัน. เพียงแต่ เช่น ""อดพอเว้าจักความ กะบ่ว่า"""
อด ๒,อดว่าแน่,"ก. นั่นละสิ, สมแล้ว, ชอบแล้ว, ควรแล้ว"
อดให้,ก.,"ขอให้ เช่น ""อดให้ขนขวายจ้ำชิมลางไว้ซะก่อน"""
อดให้,อดออม,ก. ประหยัด
อดสาห์,ก.,"บากบั่น, พยายาม, อดทน, อุตสาหะ เช่น ""อดส่าห์เลี้ยงควายโซไว้ ถ้าห่า"""
อ้น ๑,น.,สัตว์เลี้ยงลูกด้วยนม ลำตัวกลมอ้อนป้อมสีน้ำตาล ตาและหูเล็กมากขาและหางสั้น ชอบอาศัยอยู่ใต้ดินหรือโพรงไม้ ฟันแทะคู่หน้ามีขนาดใหญ่เห็นได้ชัด
อ้น ๒,น.,แมงชนิดหนึ่ง มีน้ำตาล ตัวคล้ายบึ่ง แต่ตัวเล็กขนาดแมงมุมขุดพื้นทรายเพื่อดักแมลงเป็นอาหาร
อ้น ๓,น.,"ขุดดิน, คุ้ยขุดดิน"
อ้น ๔,ก.,"งอกขึ้น, สูงขึ้น (ใช้แก่ดิน)"
อนตาย,น.,"อันตราย เช่น ""อนตายสัง อย่ามีมาต้อง"""
อนละวน,ว.,อลวน
อนอัว,ว.,"วุ่น, มั่ว, รบกวน"
อนอัว,อวนอัว,ก็ว่า
อบ ๑,น.,น้ำหอม เรียกว่า น้ำอบ (ข.)
อบ ๒,ก.,"ปรุงกลิ่นด้วยควัน, ทำให้ร้อนหรือสุกด้วยไฟ, รมด้วยกลิ่น"
อบ ๒,อบรม,"ก. แนะนำพร่ำสอนให้ซึมซาบเข้าไปจนติดเป็นนิสัย, บ่มนิสัย, ขัดเกลานิสัย"
อบ ๒,อบอ้าว,ว. ร้อนไม่มีลม
อบ ๒,อบอุ่น,"ว. อุ่นสบาย, โดยปริยายหมายความว่า ปราศจากว้าเหว่"
อบเชย,น.,อบเชย ส่วนมากเรียก เปลือกแคดำ
อบเชยป่า,ดู สมุลแว้ง,
อม ๑,ก.,"ขอ, เจรจา เช่น ไปอมสาว = ไปสู่ขอสาว"
อม ๒,ก.,เอาสิ่งของใส่ปากแล้วหุบปากแล้วหุบปากไว้ไม่กลืนลงไป
อม ๒,อมความ,ก. เก็บความ
อม ๒,อมปาก,ก. อุบปาก
อม ๒,อมมือ,"ว. ไร้เดียงสา, โง่, เรียกเด็กอ่อนที่ไม่เดียงสาว่า เด็กน้อยอมมือ"
อม ๒,อมหนอง,ก. กลัดหนอง
อม ๒,,โหมหนอง
อ่ม,ก.,"ยังถือ, ครอบครอง, รวบรวม, เก็บไว้ เช่น ""จันทน์เทศขังอ่มไว้ในนั้นหมื่นไท"" (สุด)"
อ้ม ๑,น.,พรรณไม้พุ่มชนิดหนึ่ง มีใบหอมคล้ายเนียมแต่ใบใหญ่กว่า = เนียมงวงช้าง
อ้ม ๒,น.,สัตว์สี่เท้าจำพวกอีเห็น เรียก เห็นอ้อม = ชะมด
อมฤต,ว.,ไม่ตาย
อมฤต,อำมฤต,ก็ว่า
อยา,ก.,คำประกอบกิริยาบอกความห้าม หรือไม่ยอมให้ทำการต่าง  ๆ
อยาก,ก.,"ปรารถนา, ต้องการ, หิวกระหาย"
อย่าง,น.,"ชนิด, สิ่ง, ทำนอง, วิธี, แบบ, เยี่ยง"
อย่าง,อย่างว่า,"ว. ดั่งที่ว่า, อย่างว่านั่นแหละ"
อร ๑,น.,"นาง, นางงาม"
อร ๒,ว.,"สวย, งาม, เหมาะสม, ใช้นำหน้าคำอื่น เช่น อรนุช, อรเนก, อรทวย"
อรชร,ว.,"ซาบซึ้ง, ปลาบปลื้ม, ไพรเราะ เช่น ""อรชรจาเสียงม่วน"""
อรชร,ว.,เงียบสงัด
อรดี,น.,"ความไม่ยินดี, ชื่อลูกสาวพญามาร"
อรทวย,ว.,"ฟุ้ง, ขจร, อ่อนละทวย, มืดครึ้ม"
อรทึม,ว.,"หนา, ทึม, มัว"
อรไท,น.,"นางผู้เป็นใหญ่, นางผู้มีสกุล"
อรนันต์,ว.,"มากมาย, นับไม่ถ้วน"
