Headword,POS,Definition
ซกทก,ว.,ซบเซา จับเจ่า มักตามหลังคำว่า เหงา แปลว่า ซึมเซา ใช้กับสิ่งที่มีขนาดใหญ่
ซง ,ก.,บัง แอบ แฝง
ซง ,ว.,อยู่ในที่ไกลผู้คน
ซงซ่อน,ก.,ซุกซ่อน หลบลี้
ซด,ก.,ซุ้อน - เรียงกันเป็นชั้นๆ เช่น จุมปากลีบซด - จำปากลีบซ้อน
ซด,ว.,จำนวนขั้นของหลังคาวิหาร หรือล้านนาแบบล้านนา เช่น วิหาร ๓ ชั้น เรียกว่า วิหาร ๓ ซด
ซน,ก.,ผลัก ดัน โผล่ออกมา
ซนไฟ ,ก.,ซนไฟ - ดันฟืนที่ไหม้ไฟบ้างแล้วเข้าไปในกองไฟ
ซ้น,ก.,เร่งเร้า ยัด ดันเข้า ขับเข้า กระทุ้ง ทำให้เร็วขึ้น
ซ้น,ก.,เคล็ด - กระดูกเคลื่อน เช่น แขนซ้น
ซบ,ก.,ฟุบหน้าลงไป
ซบ,ว.,หงอยเหงา ไม่เบิกบาน
ซบเซาเหงาหมอง,ว.,หงอยเหงา ไม่เบิกบาน
ซบเซาเหงาอยู่,ว.,หงอยเหงา ไม่เบิกบาน
ซวก,ก.,กระซวก กระหน่ำ ทิ่มหรือแทงลงไป
ซวก,ก.,ล้างชำระ ซัก - อาการที่นำเอาวัสดุไปจุ่มน้ำขึ้นๆ ลงๆ
ซวง,ก.,โอบ กอด
ซวง,ก.,บางแห่งแปลว่า สละ ละทิ้ง ซึ่งน่าจะเป็นความหมายของ ซวาง
ซวด,ก.,ชวด หมดหวัง ผ่านไปแล้ว
ซวด,ชวด,ก็ว่า.
ซ่วย,ก.,ล้าง ชำระด้วยน้ำ
ซ่วย,โซ่ย,ก็ว่า.
ซ่วยสี,ก.,ชำระ ขัดสี
ซ้วย,ว.,เอียง เฉียง ไม่ตรงตามกำหนด
ซ้วย,ส้วย ช้วย,ก็ว่า.
ซวะ,ก.,ชะ ชำระ ล้างข้าวที่หม่าหรือแช่ไว้เพื่อให้หมดกลิ่นก่อนนำไปนึ่ง
ซวะ,ก.,วาง สละ ละไว้
ซวะไซว้,ว.,ขวักไขว่ สับสน รวดเร็ว บ่อยๆ
ซวะไซว้,ซะไซ้,ก็ว่า.
ซว่า,ว.,ซ่า ซู่
ซว้า,ก.,ผัดโดยใช้น้ำมันหรือน้ำเล็กน้อย ตั้งไฟแล้วพลิกกลับไปมา
ซว้า,โซ้ โซ้น้ำมัน จ่าว สว้า,ก็ว่า.
ซวาง,ก.,สละ ละ ปล่อย วาง
ซว้าง,ก.,ซ้อน - เรียงกันเป็นชั้นๆ เช่น จุมปากลีบซด - จำปากลีบซ้อน
ซวาด,ก.,โฉบ เฉี่ยว เฉียด
ซวาด,ก.,โชยกลิ่น
ซว่าน,ก.,กระวนกระวาย กระสับกระส่าย พล่านพลุ่งพล่าน วุ่นวาย
ซว่าน,ก.,ซ่าน แผ่ กระจาย ฟุ้ง
ซว่านสู้,ก.,ใส่จริตแสดงท่าทีให้รู้ว่าพอใจ ร่าน
ซวาม,ว.,คลำ ใช้มือควานหาหรือสัมผัสในที่มืดหรือมองไม่เห็น
ซอ ,น.,การขับโต้ตอบระหว่างชายหญิงโดยมีปี่ชุดเป่าคลอ
ซอคร่าว,น.,คำประพันธ์ประเภทคร่าวที่นำมาขับเป็นลำนำ ส่วนใหญ่นิยมนำเรื่องชาดกมาขับเป็นลำนำ
ซอคร่าว,ซอฅ่าว,ก็ว่า.
ซ้อ,น.,ต้นซ้อ (ลป.)
ซ้อ,ซ้อแมว,
ซอก,น.,บ้าง ปลอกรัด
ซอก,ก.,ย่ำ ซอยเท้า เหยียบลงซ้ำๆ ในที่เดิม กระทุ้ง กระหน่ำ
ซอก,ก.,เสาะแสวงหา
ซอกคอ,ก.,พูด คุยอย่างไม่รู้จักเลิก (สำนวน)
ซอกนา,ก.,เหยียบย่ำหญ้าให้จมเลนเพื่อมิให้ขึ้นมารบกวนต้นข้าว
ซอกร่องกล้า,ก.,ย่ำดินเพื่อเตรียมหว่านพันธุ์ข้าว
ซอกว้อง,ก.,อาการที่กำอวัยวะเพศชายรูดไปมาเพื่อสำเร็จความใคร่
ซ็อกท็อก,ว.,ซอกซ่อ หม่นหมอง ซบเซา จับเจ่า มักตามหลังคำว่า เหงา แปลว่า ซึมเซา ใช้กับสิ่งที่มีขนาดเล็ก
ซอง,น.,ภาชนะสานคล้ายตะกร้าลักษณะแคบทรงสูง
ซอง,น.,เรียกไหทรงสูงไม่ป่องมากว่า ไหซอง
ซอง,น.,เครื่องใช้ที่มีลักษณะแคบทรงสูงสำหรับสอดใส่สิ่งของ เช่น ซองพลู
ซอง,น.,ลักษณะนามเรียกเครื่องใช้ที่มีลักษณะแคบทรงสูงอย่างซองบุหรี่
ซองหน้า,ว.,ต่อหน้า เฉพาะหน้า
ซองหน้า,ซองหน้า ส่องหน้า,ก็ว่า.
ซ่องแซ่ง,ว.,กระย่องกระแย่ง ทำกิริยาไม่น่าดู เช่น เมาเหล้าซ่องแซ่ง
ซ้อง,ว.,สลอน โผล่ขึ้นให้เห็นชัด เช่น หัวยอซ้อง - ยกหัวชูสลอน
ซ้องพ้อง,ว.,อาการที่หม่นหมองซบเซา ใช้กับสถานที่ เช่น วัดนี้หมองซ้องพ้องเงียบเหงา
ซ้องพ้อง,ว.,ออกราซ้องพ้อง - ขึ้นรา มีเชื้อราขึ้นเต็มไปหมด
ซอน,ก.,แทรก แซม เบียดเสียด พูดแทรก
ซอนลอน,ว.,สะพรั่ง สลอน เห็นได้ชัด
ซอนหลังคา,ก.,ซ่อมแซมหลังคาส่วนที่รั่ว
ซอนหลังคา,สอนลอน,ก็ว่า.
ซ่อน,ก.,ซ่อน แอบ แฝง ปิดบัง
ซ้อน,ก.,วางทับกัน
ซ้อน,ว.,เรียกคู่ครองว่า คู่ซ้อน (กวี)
ซ้อนเซื้อม,ว.,เป็นคู่ร่วมนอน เป็นคู่ครอง
ซ้อนเซื้อม,เซื้อมซ้อน,ก็ว่า.
ซอบ,ก.,พอใจ ถูกใจ
ซอบพอ,ก.,ถูกกัน ปรองดองกัน เข้ากันได้ดี
ซอบสู้,ก.,พอใจ มักใช้ในด้านความรู้สึกเกี่ยวกับเรื่องชู้สาว
ซอม,ก.,เรียงอย่างซอมพลู หรือ ซอมอ้อย
ซอม,ส้อม,ก็ว่า.
ซอมภอ,น.,ต้นหางนกยูงไทย
ซอมภอหลวง,น.,ต้นหางนกยููงฝรั่ง
ซ่อม,ว.,เรียกอาการที่ตาฟางหรือมองเห็นไม่ชัดว่า ตาซ่อม
ซ้อม,น.,เรียกสากครกกระเดื่องที่ใช้ ซ้อมเข้า ว่า สากซ้อม
ซ้อม,ก.,การกระทำในภายหลังเพื่อให้สิ่งนั้นละเอียดหรือสมบูรณ์ เช่น ซ้อมเข้า - ทำข้าวกล้องให้เป็นข้าวสาร
ซ้อมเอื้อง,ก.,เคี้ยวเอื้อง
ซอย,ก.,หั่น ตัด แล่ ฝาน
ซ้อย,น.,ลักษณะนามใช้เรียกสิ่งที่เสียบร้อยเข้าเป็นพวงอย่างพวงปลา
ซ้อย,ก.,เสื่อมลง โทรมลง เรียวลง
ซ้อย,ก.,เสียบร้อยเป็นพวง
ซ้อย,ว.,ปลาย สุดท้าย
ซ้อย,ว.,น้อย เล็ก
ซ้อยล้อย,ว.,แต่ลำพัง ผู้เดียว
ซ้อยล้อย,ว.,ลักษณะสิ่งเล็กที่กลมยาวหรือสลวยเรียงกันอยู่หรือตั้งอยู่อย่างมีระเบียบ งาม สลวย
