Word,POS,Definition
ฮ้วน,น.,ไส้ตัน มดลูก - อวัยวะภายในอันเป็นที่ตั้งครรภ์มักใช้กับสัตว์เช่น หมู ดู ฮ้วนหมู
ฮ้วนเป็ด,น.,เถาเครือข้าวตอก
ฮ้วนหมู,น.,มดลูกของหมู
,น.,เถากระทุงหมาบ้ามียางขาวเป็นพิษ ใบมนหรือรูปไข่ออกเป็นคู่ตรงกันข้ามตามลำต้น ดอกสีเขียวอ่อนออกเป็นพวงกลมดอกและใบมีรสขมใช้ประกอบอาหารได้
ฮ้วม,ก.,รวนทำให้สุก อย่างเอาเนื้อหรือปลาสดมาต้มพอสุกเก็บไว้ปรุงภายหลัง แกงผัก ประกอบด้วย ผักสลิดฅา ผักแซ่ว ผักหละ (ชะอม)
ฮอ,ก.,กรอ ขูด
ฮอก,น.,รอก
,น.,กระดิ่งไม้
,น.,กระรอก
ฮ่องแฮ่ง,น.,เชือกบ่วงที่ต่อระหว่างไถกับตัวควายเมื่อไถนา ดู ร่องแร่ง
ฮอด,น.,ชื่ออำเภอในจังหวัดเชียงใหม่ ดูเพิ่มที่ รอด และ หอด
,ก.,รอด
,ก.,ถึง
ฮอน,น.,แปลงปลูกผัก
,ก.,ทอน - ตัดแต่งกิ่งไม้
ฮ่อน,ก.,ร่อน ไปๆ มาๆ
ฮ่อนฮูดัง,ก.,ร่อนจมูกหากลิ่น
ฮอม,ก.,คือบริจาคช่วยเหลือ ร่วม สมทบ บริจาค สะสม
ฮ่อม,น.,ช่องทางแคบ ๆ
ฮ่อมช้อม,น.,ช่องแคบระหว่างเขา
ฮ่อมดอย,น.,หุบเขา ช่องเขา
ฮ่อมหนู หนูไต่ ฮ่อมไหน่ ไหน่เตียว,สำนวน.,ทางใครทางมัน
ฮ่อมห้วย,น.,ลำห้วยแคบ ๆ
ฮ่อย,ก.,ร่อย ดู ร่อย
ฮะ,ว.,ลามก ต่ำช้า
ฮัก,น.,ก.  รัก
ฮัง,น.,ไม้รัง
,น.,รังอย่างรังนก ดู รัง
,ก.,อัง - กริยาที่นำของอย่างพริกแห้งไปใกล้ไฟเพื่อให้ร้อนหรือเกรียม
ฮังเล,น.,ชื่อแกงชนิดหนึ่ง ใช้หมูสามชั้นหั่นเป็นชิ้นโต ๆ เป็นหลัก ปรุงด้วยเครื่องแกงเข้าผงกะหรี่ น้ำแกงข้นและมีมันมาก มี ๒ ชนิด ฮังเลม่าน และฮังเลเชียงแสน
ฮังโล,น.,อั้งโล่ (เตา)
ฮังฮาด,ก.,ไม่สำเร็จ ทำค้างไว้ ดู ราด
ฮับ,ก.,รับ ดู รับ
ฮา,น.,รา เชื้อรา ดู รา
สรรพนามเรียกบุรุษที่ ๑,,
ฮ่า,น.,โรคห่า
ฮ่าปักฮ่ากิน,น.,คำด่าเรียกโรคห่ามากิน
ฮากเลือด,ก.,(ปาก) แดกห่า กินเกินขนาด
ฮางฅาว,น.,ว่านน้ำ ดู รางฅาว
ฮางมะ,ว.,ครึ่ง ๆ กลาง ๆ ไม่ดีและไม่เลว ไม่บริบุรณ์
ฮางมะฮางแมน ดู ฮางมะ,,
ฮ่าง,น.,ร่างกาย
,น.,ต้นกร่าง ดูร่าง
ฮ้างท้อง,ก.,แพ้ท้อง กินเพียงส่วนหนึ่งให้กินได้ในโอกาสต่อไป ดู ร้างท้อง
ฮ้างอก,ว.,ลักษณะนุ่งผ้าถุงสูงถึงอก กระโจมอก ดู รั้งอก
ฮาด,ก.,คลาด พลาด ไม่สำเร็จ ดู ราด
ฮาน,ก.,ตัดทอน ดู ราน
ฮาม,ว.,ปานกลาง ดู ราม
ฮ่ำ,ก.,ร่ำ พรรณนา ดู ร่ำ
ฮิ,ก.,พยายาม แสวงหา ดู ริ
ฮิง,ก.,ผิง - ทำให้ได้รับความร้อนในระยะไม่ใกล้ ดู ริง
ฮิ้น,น.,ริ้น
ฮิบ,ก.,รีบ
,ก.,เก็บ รวบรวม ดู ริบ
ฮิม,ว.,ริม ดู ริม
ฮิว,น.,เรียวอย่างเรียวไม้หรือไม้เรียว ดู เรียว
ฮิ้ว,น.,ริ้ว ดู ริ้ว
ฮีด,น.,จารีต ดู รีต
ฮีบ,ว.,รีบ รีบร้อน ดู รีบ
ฮืน,ว.,เฝื่อน - มีรสอย่างมะเขือขื่นชวนให้คลื่นไส้
ฮุ,ก.,ระไป กระทบ กระแทกไปตลอดทาง
คำลงท้าย ประโยคแปลว่า กระมัง เช่น อ้ายมาแล้วฮุ - พี่ชายมาแล้วกระมัง,,
ฮุ่ง,ก.,รุ่ง รุ่งเรือง
ฮุ้ง,น.,รุ้ง
,น.,เหยี่ยว
ฮุน,ก.,รั้งไว้ ถ่วงให้ช้าลง
ฮุ่น,น.,กิ่งไม้ที่งอกหลังการตัดฟัน
,น.,หุ้น ส่วนแบ่ง ดูประกอบที่ หุ้น
ฮุ่ม,ก.,ระดม
,ก.,รุม - ปรุงอาหารด้วยไฟอ่อน
,ว.,ร้อน ดู รุ่ม
ฮุยฮาย,ว.,รุ่ยราย ไม่เรียบร้อย
ฮู,น.,รู
ฮู้,ก.,รู้
ฮูด,ก.,รูด
ฮูดเน่า,ก.,กิน (ภาษาปาก)
,ก.,แสดงอาการประชดประชันกึ่งด่า สามารถใช้ในความหมายของการคดโกง
ฮูบ,น.,รูป ดู รูป
เฮ่ง,ก.,เร่ง รีบ
เฮอะเหอ อุทา,น.,เสียงแสดงการเยาะเย้ย
เฮา สรรพ. เรา,,
เฮือง,ว.,ผลไม้เหลืองหล่นจากต้นก่อนสุกตามปรกติ อร่าม ดู เรือง
เฮือน,น.,เรือน
เฮื้อน,น.,กรวด ก้อนหินเล็ก ดู แร่
แฮ้,น.,รักแร้
แฮก,ก.,แรก เริ่มต้น
แฮกนา,น.,การเริ่มไถนาในวันที่ดีที่สุดในฤดูทำนา
แฮง,น.,กำลัง
,ว.,แรง
แฮ้ง,น.,นกอีแร้ง
แฮด,น.,แรด
แฮ่น,ว.,(ปาก) แร่ด คึกคะนอง ทำทีท่าเจ้าชู้ แก่แดด
แฮม,น.,ข้างแรม
,ก.,แรม ค้างคืน
แฮ้ว,น.,แร้ว
โฮง,น.,โรง
โฮเทล,น.,โฮเต็ล โรงแรม - ที่พักคนเดินทาง
โฮ่ฮ่าโฮฮา,ว.,กระหืดกระหอบ ส่งเสียงเพราะกินอาหารที่เผ็ดมาก ส่งเสียงหายใจดังเช่นนั้น
โฮะ,ก.,โละ รวม ผสมเข้าด้วยกัน
คำอุทา,น.,แสดงความ ตกใจ หรือประหลาดใจ
ไฮ,น.,ต้นไทร
ไฮ่,น.,ไร่
