Headword,POS,Definition
ฆราวาส,น.,"คนทั่ว ๆ ไปที่ไม่ใช่นักบวช, คนผู้อยู่ครองเรือน (ป.), ก็เรียก."
ฆ้อง,น.,"เครื่องตีให้เกิดเสียงอย่างหนึ่งทำด้วยโลหะผสม รูปร่างเป็นแผ่นกลมงองุ้มลงมารอบตัว มีปุ่มกลมตรงกลางสำหรับตี เรียกต่าง ๆ กัน เช่น ฆ้องวง, ฆ้องโหม่ง"
ฆ้อง,ฆ้องสบัดชัย,น. ฆ้องตีในงานมงคล หรือยาตราทัพ
ฆาต ๑,น.,"การฆ่า, การทำลาย"
ฆาต ๒,ก.,ตี
ฆาต ๒,ฆาตกร,น. ผู้ร้ายฆ่าคน
ฆาต ๒,ฆาตกรรม,น. การฆ่าคน
โฆรวิส ๑,น.,งูพิษ
โฆรวิส ๒,ว.,มีพิษร้าย
โฆษ ๑,น.,"เสียงกึกก้อง, เสียงดัง, เสียงสนั่น"
โฆษ ๒,ก.,ตีให้มีเสียงดังก้อง
โฆษ ๒,โฆษก,"น. ผู้พูด, ผู้ประกาศ, ผู้ป่าวร้อง, ผู้โฆษณา"
โฆษ ๒,โฆษณา,"น. การเผยแพร่หนังสือออกไปยังสาธรณชน, การป่าวร้อง, การป่าวประกาศ"
โฆษ ๒,โฆษณาการ,"น. การป่าวร้องให้ทราบ, การแจ้งความให้ทราบ"
โฆษ ๒,โฆษิต,"ก. กึกก้อง, ป่าวร้อง"
